03/04/2014 14:10
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,mynoxerr.Noxerr* (1),13129 (9%),8600,420,3700,343,60,6,2,1,3
2nd,mynoxerr.AntiGravityBot* (2),11309 (8%),8000,0,3066,206,37,0,0,3,1
3rd,sample.SpinBot,10728 (7%),6700,1050,2678,169,116,15,5,0,0
4th,sample.Walls,10092 (7%),7550,420,1946,101,72,3,2,0,1
5th,mynoxerr.Noxer*,8290 (6%),6450,0,1614,39,187,0,0,2,0
6th,sample.Fire,8054 (5%),6550,210,1248,36,10,0,1,0,1
7th,sample.Tracker,7916 (5%),5650,0,1952,150,164,0,0,0,1
8th,sample.MyFirstRobot,7024 (5%),6150,0,799,34,41,0,0,2,1
9th,sample.Crazy,6939 (5%),5950,0,809,11,161,8,0,0,1
10th,sample.TrackFire,6847 (5%),5000,0,1713,134,0,0,0,0,0
11th,sample.Corners,6305 (4%),4950,0,1262,87,5,0,0,0,0
12th,sampleex.ProxyOfGreyEminence,6046 (4%),5500,0,510,8,29,0,0,1,0
13th,sampleex.Alien,6042 (4%),5350,0,637,15,41,0,0,1,0
14th,sampleex.AlienComposition,6020 (4%),5450,0,531,15,24,0,0,0,1
15th,sample.PaintingRobot,5818 (4%),5250,0,535,0,32,0,0,0,0
16th,sample.VelociRobot,5486 (4%),4050,0,756,13,666,1,0,0,0
17th,sample.RamFire,4876 (3%),3100,0,1183,21,415,157,0,0,0
18th,dummy.Dummy*,4275 (3%),3550,0,660,21,44,0,0,0,0
19th,sample.MyFirstJuniorRobot,3717 (3%),3150,0,499,16,53,0,0,0,0
20th,sample.Interactive_v2,3300 (2%),3300,0,0,0,0,0,0,0,0
21st,sample.SittingDuck,3050 (2%),3050,0,0,0,0,0,0,0,0
22nd,sample.Interactive,2100 (1%),2100,0,0,0,0,0,0,0,0
$
03/04/2014 19:48
Results for 20 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,mynoxerr.Noxerr*,28475 (11%),16600,1900,8882,995,84,13,10,3,2
2nd,sample.Walls,24931 (10%),16400,1710,6186,520,112,3,9,5,1
3rd,sample.SpinBot,20966 (8%),14000,0,6300,379,287,0,0,6,2
4th,dummy.Dummy*,14462 (6%),11800,0,2542,67,53,0,0,0,4
5th,sample.TrackFire,14461 (6%),8700,190,5047,524,0,0,1,1,1
6th,sample.Tracker,13945 (6%),9900,0,3630,292,122,0,0,0,1
7th,sample.Fire,13698 (5%),10950,0,2600,107,30,11,0,1,1
8th,sampleex.Alien,12464 (5%),10950,0,1413,17,84,0,0,0,1
9th,sample.PaintingRobot,11899 (5%),10400,0,1425,15,59,0,0,2,1
10th,sample.MyFirstRobot,11347 (5%),9950,0,1321,18,59,0,0,0,1
11th,sample.Crazy,11178 (4%),9300,0,1548,9,316,6,0,0,2
12th,sample.RamFire,11011 (4%),6650,0,3086,65,942,269,0,0,0
13th,sample.Corners,10527 (4%),7950,0,2436,133,7,0,0,2,0
14th,sample.MyFirstJuniorRobot,9907 (4%),8350,0,1414,14,128,0,0,0,1
15th,sampleex.MasterAndSlave,8971 (4%),7950,0,960,5,56,0,0,0,1
16th,sampleex.ProxyOfGreyEminence,8290 (3%),7200,0,1013,8,70,0,0,0,1
17th,sampleteam.MyFirstLeader,7289 (3%),7150,0,0,0,139,0,0,0,0
18th,sample.Target,5834 (2%),5800,0,0,0,34,0,0,0,0
19th,sampleteam.MyFirstDroid,5450 (2%),5450,0,0,0,0,0,0,0,0
20th,sample.SittingDuck,4500 (2%),4500,0,0,0,0,0,0,0,0
$
