03-abr-2014 20:05:59
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,mynoxerr.Noxerr*,14093 (10%),8450,600,4448,518,60,17,3,2,2
2nd,sample.SpinBot,10800 (8%),7550,0,2984,153,113,0,0,4,1
3rd,sample.Walls,10768 (8%),7100,1000,2371,149,132,15,5,2,0
4th,sample.TrackFire,9541 (7%),6200,0,3053,288,0,0,0,0,2
5th,sample.Tracker,9308 (7%),6000,200,2715,224,169,0,1,0,1
6th,sample.Fire,7786 (6%),5900,200,1606,66,14,0,1,1,0
7th,sampleex.AlienComposition,6791 (5%),6050,0,715,5,20,0,0,0,1
8th,sample.Crazy,6690 (5%),5550,0,956,11,173,0,0,0,0
9th,sample.PaintingRobot,6662 (5%),5900,0,736,0,26,0,0,0,0
10th,sampleteam.MyFirstLeader,6227 (5%),6150,0,0,0,77,0,0,0,0
11th,sampleex.Alien,5982 (4%),5250,0,693,12,26,0,0,0,2
12th,sampleex.MasterAndSlave,5068 (4%),4550,0,469,15,34,0,0,0,0
13th,dummy.Dummy*,4905 (4%),3950,0,922,6,26,0,0,0,1
14th,sample.Corners,4826 (4%),3350,0,1366,107,4,0,0,1,0
15th,sample.MyFirstRobot,4776 (3%),4100,0,637,5,35,0,0,0,0
16th,sample.RamFire,4721 (3%),2550,0,1443,73,500,155,0,0,0
17th,sample.MyFirstJuniorRobot,4628 (3%),3850,0,718,16,44,0,0,0,0
18th,sampleex.ProxyOfGreyEminence,4364 (3%),3850,0,477,6,31,0,0,0,0
19th,sampleteam.MyFirstDroid,3500 (3%),3500,0,0,0,0,0,0,0,0
20th,sample.Target,2875 (2%),2850,0,0,0,25,0,0,0,0
21st,sample.SittingDuck,2350 (2%),2350,0,0,0,0,0,0,0,0
$
